"nama_silver","nama_dim_dosen","prodi","fakultas","judul_proposal","sitasi","doi","jurnal","jurnal_kategori","tanggal_terbit_hari","tanggal_terbit_bulan","tanggal_terbit_tahun"
"M Gilang Indra Mardika.","","TEKNIK SIPIL","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Perancangan bangunan pelindung pantai dalam penanganan abrasi (studi kasus: Pantai Caruban, Jawa Tengah)","1","","SINTA 4","NASIONAL","0","0","0"
"Madi, Muhammad Gufran Nurendrawan Bangsa, Bintari Citra Kurniawan.","","TEKNIK SISTEM ENERGI","FAKULTAS TEKNOLOGI INDUSTRI","Experimental Study of Integrated Fan Turbine in Oscillating Water Column with Valve System in Venturi Directional and Solar Energy as Hybrid Energy Converter","1","https://doi.org/10.55981/wave.2025.10540","SINTA 4","NASIONAL","30","6","2025"
"Mahardika Yoga Darmawan.","","FISIKA","FAKULTAS SAINS","Microstructures, optical, magnetic properties, and specific absorption rate of novel magnetite/mesoporous silica nanoparticles synthesized using green route for magnetic &#8230;","2","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","1","2025"
"Mahardika Yoga Darmawan.","","FISIKA","FAKULTAS SAINS","Photodegradation of organic water pollutants using magnetically separable and reusable novel Ag-doped Fe3O4/TiO2 nanocomposites synthesized by green route","4","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","0","2025"
"Maqbul, S.t. M.sc.","","ARSITEKTUR","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Enhancing Measuring Reliability: Calibration and Validation of IoT-based DC Power Logger","1","","SINTA 3","NASIONAL","0","3","2025"
"Maria Yosephine Simbolon.","","TEKNIK KELAUTAN","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Literature Review: Identifikasi Mikroplastik Terhadap Lingkungan Laut Dan Biota Laut","1","","SINTA 4","NASIONAL","1","3","2025"
"Mariyam.","","KIMIA","FAKULTAS SAINS","Effect of calcination temperature on the preparation of mineral trioxide aggregate from nano silica and clam shells calcium carbonate for endodontic applications","1","","JURNAL INTERNASIONAL Q3","INTERNASIONAL","0","7","2025"
"Martin C. T. Manullang.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Integrating Gradient Boosting and Parametric Architecture for Optimizing Energy Use Intensity in Net-Zero Energy Buildings","6","https://doi.org/10.28991/CEJ-2025-011-03-06","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","3","2025"
"Md Kusrini, Rk Tohir, Mm Hasibuan, R Aprilianti, S Sunarto, A Mardiastuti.","","REKAYASA KEHUTANAN","FAKULTAS TEKNOLOGI INDUSTRI","Research trends and outlook for Indonesia&#8217;s most threatened land vertebrates","1","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","27","8","2025"
"Mira Mustika.","","MATEMATIKA","FAKULTAS SAINS","Comparative Analysis of CIH and Christofides Algorithms for Optimal Tourist Route Planning in West Java","1","","JURNAL INTERNASIONAL","INTERNASIONAL","0","7","2025"
